,id,asset,amount,locked,exchange
0,1,PDEX,0.000683834032,0,GATE
1,2,VRA,272601.53268191685,0,GATE
2,3,ALPACA,2502.94715026995,0,GATE
3,4,FITFI,9043.2744288987,0,GATE
4,5,TVK,1478.24583565253,0,GATE
5,6,USDT,6768.642806618089,1600.0461676764,GATE
6,7,FRONT,923.62654,0,GATE
7,8,KDA,279.06074075,0,GATE
8,9,ALU,62974.031590268109,0,GATE
9,10,RAZOR,1816.997,0,GATE
10,11,MTS,1652.6012035,0,GATE
11,12,BONDLY,5789.8470930233,0,GATE
12,13,FEAR,0.000198,0,GATE
13,14,RMRK,406.866265539961,0,GATE
14,15,ILV,1.131390946052,0,GATE
15,16,NRV,909.582208636863,0,GATE
16,17,POLC,1655.728867,0,GATE
17,18,HEGIC,1641.489733545365,0,GATE
18,19,BLANKV2,2252.11519331324,0,GATE
19,20,NORD,383.8178197,0,GATE
20,21,NFTX,16.64477917,0,GATE
21,22,FINE,0.000187,0,GATE
22,23,POLK,632.914865129532,0,GATE
23,24,SLIM,1142.98074,0,GATE
24,25,KYL,2503.966090477639,0,GATE
25,26,PBR,1943.48309605,0,GATE
26,27,PORT,315.8595072,0,GATE
27,28,ORCA,210.41919797488,0,GATE
28,29,LEVER,0.09045995,0,GATE
29,30,USTC,0.00029572,0,GATE
30,31,OMI,699961.929500186431,0,GATE
31,32,SFUND,937.217496094038,0,GATE
32,33,MAHA,177.77769984,0,GATE
33,34,GARI,919.578059908042,0,GATE
34,35,BTC,0.144711595,0,GATE
35,36,LIKE,1970.51068,0,GATE
36,37,RAMP,0.000000004907,0,GATE
37,38,VERA,0.00068683865,0,GATE
38,39,ANC,1322.797138384474,0,GATE
39,40,CWAR,1158.5634389,0,GATE
40,41,ERG,0.000414158328,0,GATE
41,42,RFOX,37523.120298745813,0,GATE
42,43,RAZE,1412.400952541872,0,GATE
43,44,BONDLYV1,5789.84709302,0,GATE
44,45,THETA,0.00071955,0,GATE
45,46,LOOKS,1079.27777475,0,GATE
46,47,MAT,4390.941077322481,0,GATE
47,48,PCX,124.2990374,0,GATE
48,49,EFI,4396.56938905,0,GATE
49,50,WND,1604.037764726231,0,GATE
50,51,QUICK,2.3745755,0,GATE
51,52,ATLAS,0.000102758485,0,GATE
52,53,TORN,26.9301934,0,GATE
53,54,SNK,1574.832070240495,0,GATE
54,55,THG,1609.034060831616,0,GATE
55,56,CFX,0.0089235,0,GATE
56,57,TLM,20481.025129,0,GATE
57,58,ALICE,0.00021895,0,GATE
58,59,ROOMV2,0.00002065,0,GATE
59,60,MCASH,5895.07202165097,0,GATE
60,61,ROOMV1,0.00002065,0,GATE
61,62,UFO,85621393.0097,0,GATE
62,63,CGG,6989.0755186159,0,GATE
63,64,SUPER,0.000747,0,GATE
64,65,WILD,2024.6720224,0,GATE
65,66,POLS,1581.651500745332,0,GATE
66,67,CRBN,5789.087073154107,0,GATE
67,68,EGG,0.000693,0,GATE
68,69,GGG,2839.1448329491,0,GATE
69,70,XCAD,0.00045015,0,GATE
